Date,Open,High,Low,Close,Volume
02-02-2022 15:30,508.6,514.45,505.15,506.4,14311040
03-02-2022 15:30,509.1,514.3,502.85,504.5,15249245
04-02-2022 15:30,503.8,507.8,499,500.6,12663199
07-02-2022 15:30,502.9,504.35,492.5,494.6,13392910
08-02-2022 15:30,498,498.5,479.15,492.75,23378623
09-02-2022 15:30,496.5,503.7,494.7,501.25,12430730
10-02-2022 15:30,506.7,510.5,504.2,507.45,14537945
11-02-2022 15:30,503.25,507,497,498.85,13534899
14-02-2022 15:30,487,488.5,468.8,471.45,22157389
15-02-2022 15:30,476.15,505.5,467.3,504,30623088
16-02-2022 15:30,504,507.9,496.6,498.45,20176993
17-02-2022 15:30,505.9,511.5,498.3,499.95,27943077
18-02-2022 15:30,498,502.65,491.5,493.15,15476803
21-02-2022 15:30,490.15,500.4,486.1,494.45,22592161
22-02-2022 15:30,480.55,486.3,471.45,478.25,27957544
23-02-2022 15:30,481.75,485.4,475.3,477,17703998
24-02-2022 15:30,455.95,461.55,405.45,427.95,57265685
25-02-2022 15:30,444.85,465.7,441.6,459.75,48876182
28-02-2022 15:30,445,457.35,440.45,454.05,34475468
02-03-2022 15:30,452.95,454.25,444.55,447.6,25791134
03-03-2022 15:30,458.5,458.5,435,437.1,29599672
04-03-2022 15:30,431.85,431.85,414.75,417.25,38765185
07-03-2022 15:30,401.75,401.75,387.5,394,44836205
08-03-2022 15:30,390.5,395.45,376.35,391.75,55543383
09-03-2022 15:30,394.95,409.25,389.5,405.9,48376222
10-03-2022 15:30,427,434.95,414,419.6,59776817
11-03-2022 15:30,413.6,421.15,407.4,418.15,51510243
14-03-2022 15:30,418.75,419,404,411.7,40721277
15-03-2022 15:30,409.85,424.2,408,413.65,47706136
16-03-2022 15:30,427.05,428.55,420.7,424.9,27191170
17-03-2022 15:30,432,435.7,429.55,433.8,26704541
21-03-2022 15:30,435.5,436.3,427.1,427.95,18270995
22-03-2022 15:30,428.1,441.45,421.2,440.35,30441493
23-03-2022 15:30,443.5,447,434.6,435.8,25466395
24-03-2022 15:30,430,435.4,427.55,433.2,17109723
25-03-2022 15:30,437,437,427.65,432.1,15104414
28-03-2022 15:30,432,434.95,426.5,432.7,16757901
29-03-2022 15:30,436,439.35,431.4,433.7,18710736
30-03-2022 15:30,438.45,442.5,434.25,435.65,18149488
31-03-2022 15:30,436,438.3,432.6,433.75,14248045
01-04-2022 15:30,434,442.25,430.85,441.15,19380324
04-04-2022 15:30,444.4,449.5,441.3,446.75,18657201
05-04-2022 15:30,450,461.9,448.3,458.05,28530470
06-04-2022 15:30,455.9,462.7,452.6,456.15,24974477
07-04-2022 15:30,456.5,459.1,448.5,449.5,19950241
08-04-2022 15:30,450,456.25,449.7,452.05,16315704
11-04-2022 15:30,457,458.9,451,452.05,14339854
12-04-2022 15:30,450.8,450.8,435,438.3,22698696
13-04-2022 15:30,441.8,442.85,430.1,431.05,16817981
18-04-2022 15:30,430,436.35,423.65,433.8,15298361
19-04-2022 15:30,436.75,440.25,417,424.95,12669041
20-04-2022 15:30,431,441.7,428.25,440.55,19639290
